doc,sdg,score_a,score_b,score_c,score_a_norm,score_b_norm,score_c_norm,sc,sc_rank,rank_a,rank_b,rank_c,rc,rc_rank,fuzz,rc2,rc_rank2
2001_World_Public_Sector_Report,7,0.0069273244180537725,0.005002618499574825,0.0,0.010645984712189418,0.008653160948793641,0.0,0.003976647639209532,17,15,16,16,15.666666666666666,17,170,737.000103703607,17
2001_World_Public_Sector_Report,8,0.054901201814255146,0.06050976001876163,0.1843,0.25184619936248254,0.2921714343886793,0.5837820715869496,0.09990365394433892,3,8,5,2,5.0,3,-268,92.99996432264538,4
2001_World_Public_Sector_Report,9,0.07171792308208147,0.026228868308527775,0.0253,0.33639631287561356,0.11707217754250222,0.08013937282229966,0.04108226379686975,8,6,11,8,8.333333333333334,8,-375,220.9999757024508,7
2001_World_Public_Sector_Report,10,0.09090476512875538,0.038463502168899426,0.0808,0.4328627790296597,0.17956399703320172,0.25593918276845107,0.07005608909921827,6,3,10,4,5.666666666666667,5,717,125.00000725444319,5
2001_World_Public_Sector_Report,11,0.035190464744861115,0.04043847167768478,0.0253,0.15274572489406327,0.18965170700892967,0.08013937282229966,0.0336429788075153,12,11,9,8,9.333333333333334,9,-172,265.9999500644021,8
2001_World_Public_Sector_Report,12,0.05898270110783556,0.04629913455981003,0.0,0.27236691936967056,0.21958668431232797,0.0,0.03509394522254853,11,7,8,16,10.333333333333334,12,102,369.00000973923454,12
2001_World_Public_Sector_Report,13,0.08952220936624287,0.016760739496430237,0.0126,0.42591164718909635,0.0687110575128492,0.039911308203991136,0.03962764962089104,9,4,14,11,9.666666666666666,10,462,333.0000104864632,10
2001_World_Public_Sector_Report,14,0.031611692794723374,0.0033085046650574543,0.0,0.1347525875991816,0.0,0.0,0.011640065819926944,16,12,17,16,15.0,16,-994,688.9996435069552,16
2001_World_Public_Sector_Report,15,0.01568088590535319,0.008267275512444772,0.0126,0.05465662183985128,0.025328311106586565,0.039911308203991136,0.01218272047259932,15,14,15,11,13.333333333333334,14,838,542.0004339709704,14
2001_World_Public_Sector_Report,16,0.1513328814191284,0.1624940841399744,0.3157,0.7366796771256415,0.8130849367131555,1.0,0.20984232185303428,1,2,2,1,1.6666666666666667,1,-440,8.99999877884121,1
2001_World_Public_Sector_Report,17,0.20370637082011422,0.14906208668653437,0.0783,1.0,0.744477247276799,0.2480202724105163,0.14368948583554952,2,1,3,5,3.0,2,-361,34.99999999643061,2
2001wess_part2,1,0.11756885114631707,0.07659348129923023,0.1469,0.7976725702523967,0.26828435107498705,0.7344999999999999,0.11368744414851577,4,3,6,2,3.6666666666666665,3,-720,48.99999283455278,3
2001wess_part2,2,0.13916141957170913,0.08861262537435448,0.1143,0.9536267213559355,0.31390932335928895,0.5715,0.11402468164868788,3,2,3,4,3.0,2,-830,28.99999769054539,2
2001wess_part2,3,0.0111799323301655,0.09258002951165645,0.0694,0.029269608922196072,0.3289696889455261,0.347,0.057719987280607316,8,14,2,7,7.666666666666667,7,494,249.00025552562312,8
2001wess_part2,4,0.012915721005236051,0.015592275619118537,0.012199999999999999,0.04180648938878417,0.03672224473295735,0.06099999999999999,0.013569332208118198,15,13,15,13,13.666666666666666,15,839,563.0003641983379,15
2001wess_part2,5,0.007127420556898293,0.0059184078202059644,0.0,0.0,0.0,0.0,0.004348609459034752,17,17,17,16,16.666666666666668,17,-360,833.9997049378665,17
2001wess_part2,6,0.01781650798547,0.03260029058975332,0.0163,0.07720283771494603,0.10128509603051801,0.08149999999999999,0.022238932858407775,13,12,10,11,11.0,11,-126,364.9999548848482,11
2001wess_part2,7,0.007368113186640935,0.017787921846364886,0.0040999999999999995,0.0017384228688723327,0.045056972866517164,0.020499999999999997,0.009752011677668607,16,16,13,14,14.333333333333334,16,-211,620.9998501444279,16
2001wess_part2,8,0.0721702673896438,0.08133178481469043,0.2,0.46977746062065123,0.28627107003069996,1.0,0.11783401740144474,2,6,4,1,3.6666666666666665,3,221,53.000014260143104,4
2001wess_part2,9,0.062449044422043326,0.01663257888330442,0.0204,0.39956510580798693,0.04067126200898656,0.10200000000000001,0.033160541101782584,10,7,14,10,10.333333333333334,10,410,345.00003930542516,10
2001wess_part2,10,0.10740719650703358,0.07721178821056912,0.0449,0.7242791604525145,0.2706314596142228,0.2245,0.0765063282392009,5,4,5,8,5.666666666666667,5,-235,104.9999947780786,5
2001wess_part2,11,0.06005911580461456,0.05726159724377658,0.09390000000000001,0.38230364430020014,0.19490003446138546,0.46950000000000003,0.07040690434946371,6,8,7,6,7.0,6,961,149.00012798573135,6
2001wess_part2,12,0.03814164920156415,0.04573414219812932,0.0,0.22400288863839055,0.15114152606187983,0.0,0.027958597133231154,11,11,9,16,12.0,13,675,458.00019596838814,13
2001wess_part2,13,0.09348938420809112,0.03211205059060801,0.0286,0.623756584372705,0.09943172475134379,0.143,0.05140047826623304,9,5,11,9,8.333333333333334,8,-35,226.99999858158677,7
2001wess_part2,14,0.04703722388103746,0.014278295109520833,0.0040999999999999995,0.2882519288815133,0.03173434177099969,0.020499999999999997,0.021805172996852765,14,10,16,14,13.333333333333334,14,-23,551.9999946877294,14
2001wess_part2,15,0.050350511778852705,0.023429483333912964,0.102,0.31218243086189656,0.06647248173310052,0.5099999999999999,0.058593331704255215,7,9,12,5,8.666666666666666,9,761,250.00013571153946,9
2001wess_part2,16,0.010175628059682001,0.05297138491013076,0.0163,0.02201593641472692,0.17861428086754336,0.08149999999999999,0.026482337656604252,12,15,8,11,11.333333333333334,12,-34,409.9999792788921,12
2001wess_part2,17,0.14558201296500042,0.2693518626446738,0.1265,1.0,1.0,0.6325,0.18047795853655804,1,1,1,3,1.6666666666666667,1,-181,11.0,1
2002wess_part2,1,0.03882254145892069,0.013650518489953445,0.08839999999999999,0.2535868997250379,0.018923576689923036,0.2700886037274671,0.04695768664962471,7,12,13,5,10.0,10,-905,337.9996757750333,9
2002wess_part2,2,0.06101644720263783,0.06926745792808182,0.0867,0.4228728766892047,0.10542776106204228,0.2648945921173236,0.07232796837690655,4,9,2,6,5.666666666666667,4,552,121.00009824389534,4
2002wess_part2,3,0.10230682075355378,0.6444231038332188,0.3273,0.7378188490879999,1.0,1.0,0.35800997486225755,1,3,1,1,1.6666666666666667,1,863,11.00000853292569,1
2002wess_part2,4,0.13530578605752797,0.043526376818989757,0.1015,0.9895213725102832,0.06539119578725396,0.31011304613504437,0.09344405429217258,3,2,3,3,2.6666666666666665,2,-588,21.999998363904304,2
2002wess_part2,5,0.02120950655840177,0.031208491304734375,0.0033,0.11924191985224637,0.04623248891908505,0.01008249312557287,0.018572665954378714,13,13,5,13,10.333333333333334,12,-441,362.9998088192534,12
2002wess_part2,6,0.005576528698334778,0.023163111890398266,0.0098,0.0,0.03371905342205253,0.02994194928200428,0.012846546862911016,15,17,7,11,11.666666666666666,14,19,459.0000155589864,14
2002wess_part2,7,0.07043759818656982,0.016467488746666103,0.0311,0.4947335382085652,0.023304970504815205,0.09501985945615643,0.03933502897774531,8,7,11,7,8.333333333333334,7,-283,218.99997293396024,8
