doc_x,sdg_x,score_a_norm,fuzz_x,rc2_x,rc_rank2_x,index1,doc_y,sdg_y,score_b_norm,fuzz_y,rc2_y,rc_rank2_y,doc,sdg,score_c_norm,fuzz,rc2,rc_rank2,dispersion
policybrief20,17,0.0,-11,578.9999909900232,16,2992,policybrief20,14,0.0,-524,473.9999879482619,12,policybrief20,17,0.0,-11,578.9999909900232,16,
policybrief2,3,1.0,417,3.0,1,2993,policybrief2,3,1.0,417,3.0,1,policybrief2,3,1.0,417,3.0,1,
policybrief2,1,0.184661353291348,866,168.00000251631354,5,2994,policybrief2,2,0.12108861425190633,-436,71.99994197408066,2,policybrief2,2,0.08330625067706642,-436,71.99994197408066,2,0.002623642828704982
policybrief2,9,0.16646483319874783,-332,304.99999654561833,8,2995,policybrief2,11,0.07927951617144356,-336,157.99996795922357,4,policybrief2,1,0.0,866,168.00000251631354,5,0.006932843646902779
policybrief2,17,0.13922525077320533,955,152.00002124419257,3,2996,policybrief2,5,0.04128319747567708,-253,340.9998458386833,12,policybrief2,4,0.0,-624,376.9998886207899,13,0.0051134364418022535
policybrief2,12,0.06779657280122335,871,225.0000352460903,6,2997,policybrief2,6,0.03970549566131999,879,321.00045470324767,10,policybrief2,5,0.0,-253,340.9998458386833,12,0.0011603350473637798
policybrief2,13,0.052738411818767,-145,331.9999905720148,11,2998,policybrief2,17,0.011043912700499604,955,152.00002124419257,3,policybrief2,6,0.0,879,321.00045470324767,10,0.0007736232242708866
policybrief2,11,0.033966851567524804,-336,157.99996795922357,4,2999,policybrief2,10,0.004733105443071257,-371,292.99986721103363,7,policybrief2,7,0.0,622,396.000143542628,14,0.00033846020083574935
policybrief2,2,0.021791974720020778,-436,71.99994197408066,2,3000,policybrief2,1,0.0029801034271189396,866,168.00000251631354,5,policybrief2,8,0.0,173,456.0001228322735,15,0.00013960961336250918
policybrief2,4,0.001922840894340506,-624,376.9998886207899,13,3001,policybrief2,8,0.0015777018143570858,173,456.0001228322735,15,policybrief2,9,0.0,-332,304.99999654561833,8,1.0509301840842732e-06
policybrief2,7,0.0007207728868503012,622,396.000143542628,14,3002,policybrief2,12,0.0015777018143570858,871,225.0000352460903,6,policybrief2,10,0.0,-371,292.99986721103363,7,6.238306260403477e-07
policybrief2,16,0.0006072108328992227,-525,320.99984755291297,9,3003,policybrief2,16,0.0015777018143570858,-525,320.99984755291297,9,policybrief2,11,0.0,-336,157.99996795922357,4,6.332834592844758e-07
policybrief2,10,0.00010247754052252034,-371,292.99986721103363,7,3004,policybrief2,4,0.0,-624,376.9998886207899,13,policybrief2,12,0.0,871,225.0000352460903,6,3.500548770514932e-09
policybrief2,15,6.88760823612993e-05,-749,464.99967493903307,16,3005,policybrief2,7,0.0,622,396.000143542628,14,policybrief2,13,0.0,-145,331.9999905720148,11,1.5813049071468281e-09
policybrief2,6,3.882115796233623e-05,879,321.00045470324767,10,3006,policybrief2,9,0.0,-332,304.99999654561833,8,policybrief2,14,0.0,988,585.000809485253,17,5.023607685122206e-10
policybrief2,5,3.624938501413832e-05,-253,340.9998458386833,12,3007,policybrief2,13,0.0,-145,331.9999905720148,11,policybrief2,15,0.0,-749,464.99967493903307,16,4.3800597130107855e-10
policybrief2,8,3.317979875681428e-05,173,456.0001228322735,15,3008,policybrief2,14,0.0,988,585.000809485253,17,policybrief2,16,0.0,-525,320.99984755291297,9,3.6696634851423147e-10
policybrief2,14,0.0,988,585.000809485253,17,3009,policybrief2,15,0.0,-749,464.99967493903307,16,policybrief2,17,0.0,955,152.00002124419257,3,
policybrief19,13,1.0,-735,226.99999955215617,8,3010,policybrief19,3,1.0,-454,68.99999874124492,3,policybrief19,13,1.0,-735,226.99999955215617,8,
policybrief19,3,0.6021147099460503,-454,68.99999874124492,3,3011,policybrief19,17,0.4257812500000001,648,22.000006408905783,1,policybrief19,1,0.6251312565628281,-896,368.99953615146114,10,0.011893945938551193
policybrief19,17,0.4515851643489874,648,22.000006408905783,1,3012,policybrief19,9,0.2265625000000001,-209,108.99997218332949,5,policybrief19,17,0.5001750087504375,648,22.000006408905783,1,0.02130999623239705
policybrief19,7,0.4078443465626847,-438,47.99999027513691,2,3013,policybrief19,7,0.22656250000000006,-438,47.99999027513691,2,policybrief19,7,0.3748687434371719,-438,47.99999027513691,2,0.009324206689518959
policybrief19,15,0.3583158269483512,980,210.00003971560238,7,3014,policybrief19,12,0.20507812500000003,-615,242.99994133528764,9,policybrief19,2,0.2499124956247812,-784,107.99994937884563,4,0.006207199388296606
policybrief19,2,0.3131422207614843,-784,107.99994937884563,4,3015,policybrief19,2,0.17968750000000008,-784,107.99994937884563,4,policybrief19,9,0.2499124956247812,-209,108.99997218332949,5,0.004456618440814879
policybrief19,12,0.16700733288232636,-615,242.99994133528764,9,3016,policybrief19,8,0.16796875000000006,-921,473.99934620313905,14,policybrief19,10,0.2499124956247812,-437,197.99992214710383,6,0.0022648279632076535
policybrief19,9,0.08350191557846236,-209,108.99997218332949,5,3017,policybrief19,11,0.1582031250000001,615,377.00022014534784,11,policybrief19,3,0.1249562478123906,-454,68.99999874124492,3,0.001400681198788222
policybrief19,10,0.06610790950432142,-437,197.99992214710383,6,3018,policybrief19,10,0.15625000000000008,-437,197.99992214710383,6,policybrief19,15,0.1249562478123906,980,210.00003971560238,7,0.0020946703877552666
policybrief19,14,0.007687867287488209,-658,464.99984814966166,13,3019,policybrief19,6,0.10937500000000004,71,438.00003079317855,12,policybrief19,4,0.0,-538,578.9998434614004,15,0.0037270444812870064
policybrief19,4,0.0012893026856806258,-538,578.9998434614004,15,3020,policybrief19,15,0.10742187500000004,980,210.00003971560238,7,policybrief19,5,0.0,-447,649.9997273207431,17,0.003800874072664196
policybrief19,11,0.00012100964516843835,615,377.00022014534784,11,3021,policybrief19,16,0.10742187500000003,568,602.0004652812564,16,policybrief19,6,0.0,71,438.00003079317855,12,0.0038421582629575915
policybrief19,6,6.704620149184885e-05,71,438.00003079317855,12,3022,policybrief19,1,0.09375000000000006,-896,368.99953615146114,10,policybrief19,8,0.0,-921,473.99934620313905,14,0.002927593804601095
policybrief19,1,6.31579800108043e-05,-896,368.99953615146114,10,3023,policybrief19,14,0.08984375000000003,-658,464.99984814966166,13,policybrief19,11,0.0,615,377.00022014534784,11,0.0026887430177421163
policybrief19,5,6.23780633138972e-05,-447,649.9997273207431,17,3024,policybrief19,13,0.06640625000000004,-735,226.99999955215617,8,policybrief19,12,0.0,-615,242.99994133528764,9,0.0014685505456061166
policybrief19,8,5.6806322306056394e-05,-921,473.99934620313905,14,3025,policybrief19,5,0.02734375000000001,-447,649.9997273207431,17,policybrief19,14,0.0,-658,464.99984814966166,13,0.0002487101977150661
policybrief19,16,0.0,568,602.0004652812564,16,3026,policybrief19,4,0.0,-538,578.9998434614004,15,policybrief19,16,0.0,568,602.0004652812564,16,
policybrief18,7,1.0,-537,3.0,1,3027,policybrief18,7,1.0,-537,3.0,1,policybrief18,7,1.0,-537,3.0,1,
policybrief18,13,0.8519313558501506,-967,93.99999714680558,3,3028,policybrief18,9,0.7781065088757395,800,56.000017746795734,2,policybrief18,17,0.7000000000000001,-880,112.99999109636738,4,0.005772311941669372
